AI_判断理由,AI出力値,１次_判断理由,２次_判断理由,１次_判断理由,２次_判断理由,１次_判断理由,２次_判断理由,登録日時,原文,原文_言語,原文_タイトル,日本語訳文,contentId
×：必要,0.2,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文1,en,(要)原文タイトル1,（要）日本語訳文1,587990
〇：必要,0.25,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文2,en,(要)原文タイトル2,（要）日本語訳文2,587991
×：必要,0.3,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文3,en,(要)原文タイトル3,（要）日本語訳文3,587992
〇：必要,0.35,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文4,en,(要)原文タイトル4,（要）日本語訳文4,587993
〇：必要,0.35,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文5,en,(要)原文タイトル5,（要）日本語訳文5,587994
〇：必要,0.35,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文6,en,(要)原文タイトル6,（要）日本語訳文6,587995
〇：必要,0.35,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文7,en,(要)原文タイトル7,（要）日本語訳文7,587996
〇：必要,0.35,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文8,en,(要)原文タイトル8,（要）日本語訳文8,587997
〇：必要,0.35,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文9,en,(要)原文タイトル9,（要）日本語訳文9,587998
〇：必要,0.4,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文10,en,(要)原文タイトル10,（要）日本語訳文10,587999
〇：必要,0.4,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文11,en,(要)原文タイトル11,（要）日本語訳文11,588000
〇：必要,0.4,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文12,en,(要)原文タイトル12,（要）日本語訳文12,588001
